record_date,stmt_fiscal_year,restmt_flag,account_desc,line_item_desc,position_bil_amt,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2022-09-30,2022,N,Assets,Cash and other monetary assets,877.8,1,2022,4,2022,3,09,30
2022-09-30,2022,N,Assets,"Accounts receivable, net",356.3,2,2022,4,2022,3,09,30
2022-09-30,2022,N,Assets,"Loans receivable, net",1434.1,3,2022,4,2022,3,09,30
2022-09-30,2022,N,Assets,"Inventory and related property, net",406.9,4,2022,4,2022,3,09,30
2022-09-30,2022,N,Assets,"General property, plant and equipment, net",1197.5,5,2022,4,2022,3,09,30
2022-09-30,2022,N,Assets,Investments,130.3,6,2022,4,2022,3,09,30
2022-09-30,2022,N,Assets,Investments in government-sponsored enterprises,223.7,7,2022,4,2022,3,09,30
2022-09-30,2022,N,Assets,Advances and prepayments,298.1,8,2022,4,2022,3,09,30
2022-09-30,2022,N,Assets,Other assets,37.7,9,2022,4,2022,3,09,30
2022-09-30,2022,N,Assets,Total assets,4962.4,10,2022,4,2022,3,09,30
2022-09-30,2022,N,Liabilities,Accounts payable,114.6,11,2022,4,2022,3,09,30
2022-09-30,2022,N,Liabilities,Federal debt and interest payable,24328.0,12,2022,4,2022,3,09,30
2022-09-30,2022,N,Liabilities,Federal employee and veteran benefits payable,12811.9,13,2022,4,2022,3,09,30
2022-09-30,2022,N,Liabilities,Environmental and disposal liabilities,626.3,14,2022,4,2022,3,09,30
2022-09-30,2022,N,Liabilities,Benefits due and payable,288.3,15,2022,4,2022,3,09,30
2022-09-30,2022,N,Liabilities,Loan guarantee liabilities,6.4,16,2022,4,2022,3,09,30
2022-09-30,2022,N,Liabilities,Insurance and guarantee program liabilities,104.5,17,2022,4,2022,3,09,30
2022-09-30,2022,N,Liabilities,Advances from others and deferred revenues,247.2,18,2022,4,2022,3,09,30
2022-09-30,2022,N,Liabilities,Other liabilities,495.1,19,2022,4,2022,3,09,30
2022-09-30,2022,N,Liabilities,Total liabilities,39022.3,20,2022,4,2022,3,09,30
2022-09-30,2022,N,Unmatched transactions and balances,Unmatched transactions and balances,1.3,21,2022,4,2022,3,09,30
2022-09-30,2022,N,Net position,Funds from Dedicated Collections,3696.4,22,2022,4,2022,3,09,30
2022-09-30,2022,N,Net position,Funds other than those from Dedicated Collections,-37757.6,23,2022,4,2022,3,09,30
2022-09-30,2022,N,Net position,Total net position,-34061.2,24,2022,4,2022,3,09,30
2022-09-30,2022,N,Net position,Total liabilities and net position,4962.4,25,2022,4,2022,3,09,30
2023-09-30,2022,Y,Assets,Cash and other monetary assets,877.8,1,2023,4,2023,3,09,30
2023-09-30,2022,Y,Assets,"Accounts receivable, net",356.3,2,2023,4,2023,3,09,30
2023-09-30,2022,Y,Assets,"Loans receivable, net",1434.1,3,2023,4,2023,3,09,30
2023-09-30,2022,Y,Assets,Negative loan guarantee liabilities,0.0,4,2023,4,2023,3,09,30
2023-09-30,2022,Y,Assets,"Inventory and related property, net",406.9,5,2023,4,2023,3,09,30
2023-09-30,2022,Y,Assets,"General property, plant and equipment, net",1197.5,6,2023,4,2023,3,09,30
2023-09-30,2022,Y,Assets,Investments,130.3,7,2023,4,2023,3,09,30
2023-09-30,2022,Y,Assets,Investments in government-sponsored enterprises,223.7,8,2023,4,2023,3,09,30
2023-09-30,2022,Y,Assets,Advances and prepayments,298.1,9,2023,4,2023,3,09,30
2023-09-30,2022,Y,Assets,Other assets,37.7,10,2023,4,2023,3,09,30
2023-09-30,2022,Y,Assets,Total assets,4962.4,11,2023,4,2023,3,09,30
2023-09-30,2022,Y,Liabilities,Accounts payable,114.6,12,2023,4,2023,3,09,30
2023-09-30,2022,Y,Liabilities,Federal debt and interest payable,24328.0,13,2023,4,2023,3,09,30
2023-09-30,2022,Y,Liabilities,Federal employee and veteran benefits payable,12811.9,14,2023,4,2023,3,09,30
2023-09-30,2022,Y,Liabilities,Environmental and disposal liabilities,626.3,15,2023,4,2023,3,09,30
2023-09-30,2022,Y,Liabilities,Benefits due and payable,288.3,16,2023,4,2023,3,09,30
2023-09-30,2022,Y,Liabilities,Loan guarantee liabilities,6.4,17,2023,4,2023,3,09,30
2023-09-30,2022,Y,Liabilities,Insurance and guarantee program liabilities,104.5,18,2023,4,2023,3,09,30
2023-09-30,2022,Y,Liabilities,Advances from others and deferred revenues,247.2,19,2023,4,2023,3,09,30
2023-09-30,2022,Y,Liabilities,Other liabilities,495.1,20,2023,4,2023,3,09,30
2023-09-30,2022,Y,Liabilities,Total liabilities,39022.3,21,2023,4,2023,3,09,30
2023-09-30,2022,Y,Unmatched transactions and balances,Unmatched transactions and balances,1.3,22,2023,4,2023,3,09,30
2023-09-30,2022,Y,Net position,Funds from Dedicated Collections,3696.4,23,2023,4,2023,3,09,30
2023-09-30,2022,Y,Net position,Funds other than those from Dedicated Collections,-37757.6,24,2023,4,2023,3,09,30
2023-09-30,2022,Y,Net position,Total net position,-34061.2,25,2023,4,2023,3,09,30
2023-09-30,2022,Y,Net position,Total liabilities and net position,4962.4,26,2023,4,2023,3,09,30
