record_date,stmt_fiscal_year,restmt_flag,account_desc,line_item_desc,position_bil_amt,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
1995-09-30,1994,Y,Assets,"Property, plant, and equipment, net of accumulated depreciation",576.2,7,1995,4,1995,3,09,30
1995-09-30,1994,Y,Assets,Other assets,151.1,8,1995,4,1995,3,09,30
1995-09-30,1995,N,Assets,Total assets,1297.6,9,1995,4,1995,3,09,30
1995-09-30,1994,Y,Assets,Total assets,1350.9,9,1995,4,1995,3,09,30
1995-09-30,1995,N,Liabilities,Accounts payable,51.2,10,1995,4,1995,3,09,30
1995-09-30,1994,Y,Liabilities,Accounts payable,48.4,10,1995,4,1995,3,09,30
1995-09-30,1995,N,Liabilities,Interest payable,51.3,11,1995,4,1995,3,09,30
1995-09-30,1994,Y,Liabilities,Interest payable,45.1,11,1995,4,1995,3,09,30
1995-09-30,1995,N,Liabilities,Accrued payroll and benefits,17.3,12,1995,4,1995,3,09,30
1995-09-30,1994,Y,Liabilities,Accrued payroll and benefits,17.2,12,1995,4,1995,3,09,30
1995-09-30,1995,N,Liabilities,Unearned revenue,33.8,13,1995,4,1995,3,09,30
1995-09-30,1995,N,Assets,Cash,66.8,1,1995,4,1995,3,09,30
1995-09-30,1994,Y,Liabilities,Unearned revenue,36.0,13,1995,4,1995,3,09,30
1995-09-30,1995,N,Liabilities,Federal Debt held by the public,3603.3,14,1995,4,1995,3,09,30
1995-09-30,1994,Y,Liabilities,Federal Debt held by the public,3432.3,14,1995,4,1995,3,09,30
1995-09-30,1995,N,Liabilities,Pensions and other actuarial liabilities,1628.2,15,1995,4,1995,3,09,30
1995-09-30,1994,Y,Liabilities,Pensions and other actuarial liabilities,1526.2,15,1995,4,1995,3,09,30
1995-09-30,1995,N,Liabilities,Other liabilities,425.5,16,1995,4,1995,3,09,30
1995-09-30,1994,Y,Liabilities,Other liabilities,251.9,16,1995,4,1995,3,09,30
1995-09-30,1995,N,Liabilities,Total liabilities,5810.6,17,1995,4,1995,3,09,30
1995-09-30,1994,Y,Liabilities,Total liabilities,5357.1,17,1995,4,1995,3,09,30
1995-09-30,1995,N,Net position,Accumulated position,-4513.0,18,1995,4,1995,3,09,30
1995-09-30,1994,Y,Assets,Cash,56.3,1,1995,4,1995,3,09,30
1995-09-30,1995,N,Assets,Other monetary assets,126.7,2,1995,4,1995,3,09,30
1995-09-30,1994,Y,Assets,Other monetary assets,126.2,2,1995,4,1995,3,09,30
