record_date,stmt_fiscal_year,restmt_flag,agency_nm,gross_cost_bil_amt,earned_revenue_bil_amt,subtotal_bil_amt,change_assumptions_bil_amt,net_cost_bil_amt,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2021-09-30,2021,N,Department of Health and Human Services,1644.9,137.7,1507.2,0.7,1507.9,1,2021,4,2021,3,09,30
2021-09-30,2021,N,Social Security Administration,1194.1,0.3,1193.8,0.0,1193.8,2,2021,4,2021,3,09,30
2021-09-30,2021,N,Department of Defense,851.8,44.0,807.8,82.8,890.6,3,2021,4,2021,3,09,30
2021-09-30,2021,N,Department of the Treasury,854.6,23.8,830.8,0.0,830.8,4,2021,4,2021,3,09,30
2021-09-30,2021,N,Department of Veterans Affairs,351.0,3.9,347.1,346.3,693.4,5,2021,4,2021,3,09,30
2021-09-30,2021,N,Department of Labor,396.8,0.0,396.8,0.0,396.8,6,2021,4,2021,3,09,30
2021-09-30,2021,N,Interest on Treasury Securities Held by the Public,392.0,0.0,392.0,0.0,392.0,7,2021,4,2021,3,09,30
2021-09-30,2021,N,Small Business Administration,350.5,3.1,347.4,0.0,347.4,8,2021,4,2021,3,09,30
2021-09-30,2021,N,Department of Agriculture,239.4,8.8,230.6,0.0,230.6,9,2021,4,2021,3,09,30
2021-09-30,2021,N,Department of Education,243.0,34.4,208.6,0.0,208.6,10,2021,4,2021,3,09,30
2021-09-30,2021,N,Office of Personnel Management,134.0,26.3,107.7,84.9,192.6,11,2021,4,2021,3,09,30
2021-09-30,2021,N,Department of Transportation,102.9,1.0,101.9,0.0,101.9,12,2021,4,2021,3,09,30
2021-09-30,2021,N,Department of Homeland Security,101.0,12.9,88.1,1.6,89.7,13,2021,4,2021,3,09,30
2021-09-30,2021,N,Security Assistance Accounts,92.9,14.4,78.5,0.0,78.5,14,2021,4,2021,3,09,30
2021-09-30,2021,N,Department of Justice,41.4,2.6,38.8,0.0,38.8,15,2021,4,2021,3,09,30
2021-09-30,2021,N,Department of State,40.2,3.5,36.7,1.9,38.6,16,2021,4,2021,3,09,30
2021-09-30,2021,N,Department of Energy,43.2,6.2,37.0,0.0,37.0,17,2021,4,2021,3,09,30
